ticker,sic_description,sec_name
CVNA,Retail-Auto Dealers & Gasoline Stations,CARVANA CO.
CXW,Real Estate Investment Trusts,"CoreCivic, Inc."
CYPH,Pharmaceutical Preparations,CYPHERPUNK TECHNOLOGIES INC.
CYRX,Pharmaceutical Preparations,"Cryoport, Inc."
DAIC,Services-Computer Integrated Systems Design,"CID Holdco, Inc."
DASH,"Services-Business Services, NEC","DoorDash, Inc."
DAVE,Finance Services,Dave Inc./DE
DC,Metal Mining,Dakota Gold Corp.
DCH,Motor Vehicle Parts & Accessories,Dauch Corp
DDD,Services-Prepackaged Software,3D SYSTEMS CORP
DDOG,Services-Prepackaged Software,"Datadog, Inc."
DELL,Electronic Computers,Dell Technologies Inc.
DFDV,Finance Services,DeFi Development Corp.
DFSC,Services-Prepackaged Software,DEFSEC Technologies Inc.
DFTX,Medicinal Chemicals & Botanical Products,"Definium Therapeutics, Inc."
DGXX,Finance Services,Digi Power X Inc.
DINO,Pipe Lines (No Natural Gas),HF Sinclair Corp
DJCO,Newspapers: Publishing or  Publishing & Printing,DAILY JOURNAL CORP
DK,Petroleum Refining,"Delek US Holdings, Inc."
DKI,Services-Prepackaged Software,DarkIris Inc.
DLO,"Services-Business Services, NEC",dLocal Ltd
DMRA,Pharmaceutical Preparations,"Damora Therapeutics, Inc."
DNTH,Pharmaceutical Preparations,"Dianthus Therapeutics, Inc. /DE/"
DOCS,Services-Computer Programming Services,"Doximity, Inc."
DOCU,Services-Prepackaged Software,"DOCUSIGN, INC."
DOMO,Services-Prepackaged Software,"DOMO, INC."
DPRO,Aircraft,Draganfly Inc.
DRMA,Pharmaceutical Preparations,"Dermata Therapeutics, Inc."
DRTS,Surgical & Medical Instruments & Apparatus,Alpha Tau Medical Ltd.
DSGN,Pharmaceutical Preparations,"Design Therapeutics, Inc."
DSP,"Services-Computer Programming, Data Processing, Etc.",Viant Technology Inc.
DSX,Deep Sea Foreign Transportation of  Freight,DIANA SHIPPING INC.
DTIL,"Biological Products, (No Diagnostic Substances)",PRECISION BIOSCIENCES INC
DUOL,Services-Prepackaged Software,"Duolingo, Inc."
DXC,Services-Computer Processing & Data Preparation,DXC Technology Co
DXYZ,,Destiny Tech100 Inc.
EAT,Retail-Eating  Places,"BRINKER INTERNATIONAL, INC"
EDIT,"Biological Products, (No Diagnostic Substances)","Editas Medicine, Inc."
EDRY,Water Transportation,EuroDry Ltd.
EFOR,Services-Help Supply Services,Everforth Inc
EGO,Gold and Silver Ores,ELDORADO GOLD CORP /FI
EIKN,"Biological Products, (No Diagnostic Substances)","Eikon Therapeutics, Inc."
ELE,Gold and Silver Ores,Elemental Royalty Corp
ELF,"Perfumes, Cosmetics & Other Toilet Preparations","e.l.f. Beauty, Inc."
EMBC,Surgical & Medical Instruments & Apparatus,Embecta Corp.
ENGS,Electrical Work,Energys Group Ltd
ENTA,Pharmaceutical Preparations,ENANTA PHARMACEUTICALS INC
EOLS,Pharmaceutical Preparations,"Evolus, Inc."
EPAM,Services-Computer Programming Services,"EPAM Systems, Inc."
EPC,"Perfumes, Cosmetics & Other Toilet Preparations",EDGEWELL PERSONAL CARE Co
EPRX,Pharmaceutical Preparations,EUPRAXIA PHARMACEUTICALS INC.
EQX,Gold and Silver Ores,Equinox Gold Corp.
ERAS,Pharmaceutical Preparations,"Erasca, Inc."
ERO,Metal Mining,Ero Copper Corp.
ESTC,Services-Prepackaged Software,Elastic N.V.
ETON,Pharmaceutical Preparations,"Eton Pharmaceuticals, Inc."
EVC,Television Broadcasting Stations,ENTRAVISION COMMUNICATIONS CORP
EVER,"Services-Computer Programming, Data Processing, Etc.","EverQuote, Inc."
EVH,Services-Management Services,"Evolent Health, Inc."
EWTX,Pharmaceutical Preparations,"Edgewise Therapeutics, Inc."
EXFY,Services-Prepackaged Software,"Expensify, Inc."
EXK,Gold and Silver Ores,ENDEAVOUR SILVER CORP
EXPE,Transportation Services,"Expedia Group, Inc."
EZPW,Retail-Miscellaneous Retail,EZCORP INC
FA,Services-Computer Processing & Data Preparation,FIRST ADVANTAGE CORP
FATE,"Biological Products, (No Diagnostic Substances)",FATE THERAPEUTICS INC
FCEL,Electrical Industrial Apparatus,FUELCELL ENERGY INC
FCUV,"Industrial Instruments For Measurement, Display, and Control",FOCUS UNIVERSAL INC.
FCX,Metal Mining,FREEPORT-MCMORAN INC
FDMT,"Biological Products, (No Diagnostic Substances)","4D Molecular Therapeutics, Inc."
FENC,"Biological Products, (No Diagnostic Substances)",FENNEC PHARMACEUTICALS INC.
FET,Oil & Gas Field Machinery & Equipment,"FORUM ENERGY TECHNOLOGIES, INC."
FF,Industrial Organic Chemicals,FutureFuel Corp.
FGI,"Heating Equip, Except Elec & Warm Air; & Plumbing Fixtures",FGI Industries Ltd.
FHTX,Pharmaceutical Preparations,Foghorn Therapeutics Inc.
FIEE,Telephone & Telegraph Apparatus,"FiEE, Inc."
FIG,Services-Prepackaged Software,"Figma, Inc."
FIGR,Loan Brokers,"Figure Technology Solutions, Inc."
FIGS,Apparel & Other Finishd Prods of  Fabrics & Similar Matl,"FIGS, Inc."
FIVE,Retail-Variety Stores,"FIVE BELOW, INC"
FIVN,Services-Computer Processing & Data Preparation,"Five9, Inc."
FLR,Heavy Construction Other Than Bldg Const - Contractors,FLUOR CORP
FLXS,Household Furniture,FLEXSTEEL INDUSTRIES INC
FLYE,Motor Vehicles & Passenger Car Bodies,"Fly-E Group, Inc."
FLYW,"Services-Business Services, NEC",Flywire Corp
FMC,Chemicals & Allied Products,FMC CORP
FNKO,"Games, Toys & Children's Vehicles (No Dolls & Bicycles)","Funko, Inc."
FOSL,"Watches, Clocks, Clockwork Operated Devices/Parts","Fossil Group, Inc."
FOUR,"Services-Business Services, NEC","Shift4 Payments, Inc."
FOXF,"Motorcycles, Bicycles & Parts",FOX FACTORY HOLDING CORP
FRD,"Steel Works, Blast Furnaces & Rolling & Finishing Mills",FRIEDMAN INDUSTRIES INC
FRHC,"Security Brokers, Dealers & Flotation Companies",Freedom Holding Corp.
FRNM,Services-Medical Laboratories,"Freenome, Inc."
FROG,Services-Prepackaged Software,JFrog Ltd
FRPT,Grain Mill Products,"Freshpet, Inc."
FRSH,Services-Prepackaged Software,Freshworks Inc.
FSLY,Services-Prepackaged Software,"Fastly, Inc."
FSM,Gold and Silver Ores,FORTUNA MINING CORP.
FTH,Pharmaceutical Preparations,"Faeth Therapeutics, Inc."
FTNT,"Computer Peripheral Equipment, NEC","Fortinet, Inc."
FTRE,Services-Medical Laboratories,Fortrea Holdings Inc.
FUBO,Services-Motion Picture & Video Tape Production,FuboTV Inc.
FUTU,"Security Brokers, Dealers & Flotation Companies",Futu Holdings Ltd
FWDI,Finance Services,"Forward Industries, Inc."
FWRD,Arrangement of  Transportation of  Freight & Cargo,FORWARD AIR CORP
FXHO,Electronic & Other Electrical Equipment (No Computer Equip),UTime Ltd
GCT,Retail-Catalog & Mail-Order Houses,GigaCloud Technology Inc
GDDY,Services-Computer Integrated Systems Design,GoDaddy Inc.
GDRX,Services-Computer Processing & Data Preparation,"GoodRx Holdings, Inc."
GDYN,Services-Prepackaged Software,"GRID DYNAMICS HOLDINGS, INC."
GEMI,Finance Services,"Gemini Space Station, Inc."
GENB,Pharmaceutical Preparations,"Generate Biomedicines, Inc."
GENI,Services-Miscellaneous Amusement & Recreation,Genius Sports Ltd
GEO,General Bldg Contractors - Residential Bldgs,GEO GROUP INC
GERN,Pharmaceutical Preparations,GERON CORP
GH,Services-Medical Laboratories,"Guardant Health, Inc."
GHRS,Pharmaceutical Preparations,GH Research PLC
GLXY,"Security Brokers, Dealers & Flotation Companies",Galaxy Digital Inc.
GO,Retail-Grocery Stores,Grocery Outlet Holding Corp.
GORO,Gold and Silver Ores,Goldgroup Mining Inc.
GPRK,Crude Petroleum & Natural Gas,GeoPark Ltd
GPRO,Photographic Equipment & Supplies,"GoPro, Inc."
GRAL,Services-Medical Laboratories,"GRAIL, Inc."
GRI,Pharmaceutical Preparations,"GRI Bio, Inc."
GROY,Gold and Silver Ores,Gold Royalty Corp.
GRPN,Services-Advertising Agencies,"Groupon, Inc."
GRRR,Services-Prepackaged Software,Gorilla Technology Group Inc.
GSHD,"Insurance Agents, Brokers & Service","Goosehead Insurance, Inc."
GSM,Metal Mining,Ferroglobe PLC
GTE,Crude Petroleum & Natural Gas,GRAN TIERRA ENERGY INC.
GTLB,Services-Prepackaged Software,Gitlab Inc.
GTM,Services-Prepackaged Software,ZoomInfo Technologies Inc.
